year,annual-average-temperature
1987,13.2
1988,13.9
1989,13.2
1990,13.7
1991,13.0
1992,13.8
1993,13.6
1994,14.6
1995,13.4
1996,13.0
1997,14.5
1998,14.5
1999,14.6
2000,14.9
2001,14.4
2002,14.4
2003,14.7
2004,14.0
2005,13.4
2006,14.2
2007,14.8
2008,14.5
2009,14.5
2010,13.3
2011,14.4
2012,14.1
2013,13.9
2014,15.0
2015,14.7
2016,14.8

min,12
max,19
steps,8
decimals
