year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,58,248,206,124
1988,46,212,55,31
1989,44,194,276,36
1990,14,167,71,84
1991,59,233,388,70
1992,80,202,80,61
1993,136,200,142,78
1994,35,129,118,223
1995,99,212,278,79
1996,99,121,304,160
1997,61,169,245,145
1998,112,95,194,213
1999,127,158,134,110
2000,91,69,146,46
2001,66,227,229,133
2002,46,89,236,131
2003,85,66,189,108
2004,127,70,305,83
2005,108,283,108,105
2006,120,196,166,39
2007,94,78,180,161
2008,56,205,259,115
2009,143,90,74,142
2010,103,225,127,133
2011,35,201,91,50
2012,97,171,105,141
2013,104,365,176,34
2014,69,246,122,155
2015,91,94,92,98
2016,64,244,83,205
