year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,86,142,3
1988,83,133,2
1989,85,122,0
1990,72,132,3
1991,83,128,2
1992,70,125,2
1993,74,119,3
1994,69,116,2
1995,93,134,2
1996,72,134,2
1997,69,121,3
1998,72,129,1
1999,78,134,0
2000,79,125,3
2001,99,142,2
2002,73,121,4
2003,75,127,1
2004,83,121,2
2005,76,129,2
2006,80,130,1
2007,99,146,2
2008,109,146,1
2009,69,129,3
2010,78,118,2
2011,81,135,2
2012,87,126,2
2013,97,133,4
2014,89,136,3
2015,105,143,1
2016,9,140,2
2016
2017,90,130,1
2018,75,133,2
2019,29,118,2
2020,70,129,3
2021,80,136,0
2022,112,148,4
2023,84,132,3
2024,49,124,1
2025,92,131,2
2026,84,129,3
2027,65,127,3
2028,84,128,2
2029,96,139,2
2030,67,123,3
2031,91,146,3
2032,59,125,2
2033,39,136,3
2034,96,141,2
2035,70,130,3
2036,68,108,2
2037,87,131,3
2038,84,136,1
2039,80,126,2
2040,90,147,2
2041,87,122,3
2042,90,125,2
2043,92,137,2
2044,79,130,1
2045,75,120,3
2046,75,124,2
