year,annual-frozen-days
1987,112
1988,121
1989,82
1990,78
1991,103
1992,110
1993,106
1994,88
1995,98
1996,105
1997,112
1998,102
1999,99
2000,83
2001,109
2002,84
2003,112
2004,92
2005,96
2006,96
2007,63
2008,68
2009,74
2010,91
2011,97
2012,102
2013,88
2014,83
2015,81
2016,79
