year,annual-average-temperature
1987,8.5
1988,9.5
1989,11.2
1990,11.5
1991,9.7
1992,10.1
1993,9.6
1994,11.4
1995,10.1
1996,8.8
1997,9.5
1998,10.1
1999,11.1
2000,11.4
2001,10.6
2002,10.8
2003,10.0
2004,10.4
2005,10.3
2006,10.1
2007,12.0
2008,11.4
2009,11.4
2010,10.7
2011,10.6
2012,11.0
2013,11.0
2014,10.9
2015,12.0
2016,11.6
