year,annual-estival-days
1987,46
1988,41
1989,79
1990,57
1991,75
1992,49
1993,41
1994,56
1995,62
1996,46
1997,81
1998,56
1999,65
2000,64
2001,50
2002,46
2003,90
2004,61
2005,68
2006,73
2007,47
2008,46
2009,78
2010,61
2011,73
2012,67
2013,60
2014,41
2015,63
2016,64
2017,57
2018,84
2019,72
2020,68

min,0
max,135
steps,10
decimal
