year,A1,A2,A3
,label A1,label A2,label A3
1987,25,2475,150
1988,21,2441,133
1989,10,2479,84
1990,19,2411,106
1991,12,2639,92
1992,15,2399,99
1993,14,2618,114
1994,9,2383,125
1995,10,2580,83
1996,22,2613,167
1997,27,2611,251
1998,23,2415,154
1999,21,2677,143
2000,11,2531,119
2001,22,2390,123
2002,29,2377,186
2003,19,2721,126
2004,26,2601,189
2005,8,2570,65
2006,17,2544,141
2007,10,2545,68
2008,13,2508,124
2009,6,2602,60
2010,25,2699,169
2011,30,2501,170
2012,14,2333,93
2013,10,2645,84
2014,34,2531,222
2015,28,2661,208
2016,15,2842,107
2016
2017,54,2531,305
2018,40,2189,279
2019,22,2319,156
2020,14,2364,97
2021,38,2286,304
2022,44,2134,289
2023,25,2113,213
2024,13,2220,142
2025,46,2302,293
2026,57,2399,412
2027,29,2238,207
2028,43,2275,300
2029,37,2335,250
2030,26,2319,251
2031,43,2265,291
2032,39,2461,249
2033,15,2259,134
2034,24,2471,189
2035,31,2178,236
2036,56,2225,394
2037,38,2516,282
2038,19,2353,148
2039,39,2186,255
2040,43,2220,310
2041,43,2343,252
2042,35,2071,251
2043,29,2451,206
2044,45,2035,287
2045,46,2271,308
2046,41,2134,283

min,,1900
max,,2900
steps,,11
decimal



