year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,139,180,154,268
1988,369,244,130,125
1989,125,202,89,140
1990,142,183,113,276
1991,153,124,188,229
1992,90,202,166,273
1993,30,215,226,304
1994,239,296,232,256
1995,295,118,163,255
1996,260,172,144,273
1997,104,234,136,335
1998,158,287,150,212
1999,215,228,239,280
2000,150,257,212,360
2001,302,226,257,155
2002,136,227,160,278
2003,170,179,173,298
2004,212,190,231,186
2005,140,241,137,205
2006,300,141,233,210
2007,291,228,225,142
2008,247,360,132,282
2009,129,251,120,296
2010,224,263,164,236
2011,127,101,196,249
2012,82,325,99,266
2013,253,307,175,337
2014,369,210,263,234
2015,235,163,230,142
2016,466,361,97,181
2017,267,286,186,257
2018,393,253,108,276
2019,163,246,114,559
2020,249,236,111,395


