year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,51,-107,-166,177
1988,263,-18,-196,22
1989,-19,-142,-290,-15
1990,9,-98,-249,182
1991,46,-151,-167,156
1992,-10,-77,-144,197
1993,-95,-75,-82,215
1994,125,-1,-92,156
1995,173,-189,-175,135
1996,141,-156,-179,184
1997,-30,-104,-210,227
1998,16,-27,-199,125
1999,96,-74,-97,186
2000,35,-55,-108,264
2001,193,-76,-52,59
2002,12,-76,-133,184
2003,39,-163,-214,207
2004,108,-136,-86,104
2005,35,-98,-198,104
2006,203,-196,-113,107
2007,186,-74,-76,54
2008,138,75,-182,203
2009,17,-62,-229,202
2010,116,-34,-166,148
2011,20,-255,-123,146
2012,-39,34,-252,175
2013,162,53,-165,255
2014,262,-103,-26,147
2015,144,-168,-120,49
2016,375,89,-255,98
2017,154,-46,-106,175
2018,309,-62,-255,177
2019,44,-57,-251,481
2020,140,-84,-240,316


