year,F1,F3,M4
,label F1,label F3,label M4
1987,42,126,1
1988,66,131,1
1989,36,132,2
1990,48,130,1
1991,67,137,1
1992,41,115,3
1993,51,126,2
1994,46,123,3
1995,44,127,2
1996,59,129,2
1997,47,124,1
1998,47,129,4
1999,37,137,3
2000,50,119,1
2001,45,116,3
2002,46,113,0
2003,62,134,1
2004,48,129,3
2005,37,122,1
2006,57,127,2
2007,56,130,0
2008,43,128,1
2009,44,136,3
2010,49,126,3
2011,51,133,0
2012,48,115,2
2013,40,124,1
2014,53,116,3
2015,61,136,2
2016,61,141,3
2016
2017,61,133,2
2018,35,121,5
2019,40,119,2
2020,39,119,7
2021,37,120,4
2022,31,114,3
2023,35,128,5
2024,39,128,3
2025,36,124,5
2026,40,132,3
2027,42,112,1
2028,22,116,4
2029,40,120,3
2030,26,124,5
2031,43,123,3
2032,35,121,3
2033,37,121,4
2034,44,117,6
2035,36,114,3
2036,34,127,3
2037,51,122,3
2038,37,125,4
2039,22,128,3
2040,37,126,3
2041,43,121,2
2042,25,115,3
2043,33,132,2
2044,42,114,2
2045,38,113,2
2046,31,118,3

min,,90
max,,160
steps,,11
decimal


