year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,76,194,306,232
1988,83,107,248,125
1989,87,205,263,251
1990,148,176,232,206
1991,103,332,217,162
1992,123,142,121,135
1993,121,56,284,158
1994,135,225,126,188
1995,174,190,159,88
1996,95,168,96,155
1997,96,256,146,237
1998,145,232,310,172
1999,154,183,145,172
2000,142,99,222,129
2001,134,223,210,175
2002,163,139,103,164
2003,59,155,186,183
2004,123,138,289,212
2005,97,243,144,101
2006,76,98,140,214
2007,172,142,211,177
2008,169,94,182,214
2009,146,114,201,226
2010,121,210,320,175
2011,129,165,286,102
2012,138,221,246,241
2013,78,175,167,136
2014,113,187,198,159
2015,146,159,132,123
2016,152,132,243,201
