year,annual-precipitations
1987,808
1988,563
1989,806
1990,761
1991,814
1992,521
1993,619
1994,673
1995,612
1996,513
1997,734
1998,859
1999,655
2000,592
2001,743
2002,569
2003,583
2004,762
2005,585
2006,528
2007,702
2008,658
2009,687
2010,826
2011,682
2012,845
2013,555
2014,656
2015,559
2016,728

min,300
max,1100
steps,9
decimal
