year,F1,F3,M4
,label F1,label F3,label M4
1987,113,163,1
1988,110,155,1
1989,113,160,3
1990,114,158,1
1991,105,165,1
1992,105,157,1
1993,110,155,2
1994,112,153,0
1995,92,139,4
1996,104,154,3
1997,92,147,1
1998,35,157,1
1999,106,146,1
2000,94,152,1
2001,110,160,2
2002,118,163,3
2003,129,169,3
2004,102,148,0
2005,109,152,1
2006,99,152,2
2007,112,155,3
2008,116,159,1
2009,119,165,1
2010,105,150,2
2011,101,146,2
2012,110,157,1
2013,115,162,4
2014,111,157,1
2015,107,150,1
2016,110,157,5
2016
2017,90,146,3
2018,111,152,1
2019,99,147,2
2020,117,159,0
2021,100,154,4
2022,97,148,1
2023,105,156,0
2024,85,142,0
2025,89,141,0
2026,110,159,0
2027,95,151,1
2028,103,146,1
2029,9,146,2
2030,101,157,0
2031,74,135,0
2032,97,144,2
2033,117,163,4
2034,99,147,0
2035,81,143,2
2036,89,149,1
2037,96,142,1
2038,97,149,1
2039,93,153,2
2040,94,150,2
2041,113,152,0
2042,81,133,2
2043,126,161,0
2044,101,149,1
2045,100,152,0
2046,92,142,2
