year,annual-frozen-days
1987,143
1988,151
1989,88
1990,93
1991,119
1992,135
1993,127
1994,127
1995,121
1996,148
1997,127
1998,116
1999,122
2000,87
2001,133
2002,119
2003,123
2004,127
2005,128
2006,117
2007,102
2008,86
2009,116
2010,133
2011,95
2012,110
2013,119
2014,95
2015,90
2016,110

min,40
max,180
steps,8
decimal
