year,winter-soft-wheat,spring-soft-wheat,rye,spring-barley,spring-oat,triticale,buckwheat,winter-rapeseed,spring-rapeseed,spring-field-bean,spring-field-peas,potatoes,sugar-beet,maize-silage
,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha,Q-ha
2000,40,24,27,27,19,42,9,20,13,,,161,344,309.7
2001,35,29,23,25,19,39,8,12,9,,,101,342,228.6
2002,41,31,27,25,18,40,5,17,15,,,172,336,197.5
2003,35,34,27,32,26,29,9,15,18,23,33,165,371,314.1
2004,41,35,26,30,22,35,6,26,16,19,17,118,385,228.1
2005,39,33,21,27,18,31,6,25,14,13,15,116,345,233.3
2006,19,19,18,18,10,15,2,11,6,3,7,105,322,181.8
2007,42,36,24,27,21,34,9,19,15,17,16,126,539,327.8
2008,48,32,29,30,19,36,7,28,16,18,20,164,406,266.9
2009,42,32,26,30,20,32,7,26,16,18,23,162,492,229.7
2010,30,31,18,24,15,21,9,17,15,17,17,173,153,294.1
2011,33,35,24,34,21,33,10,16,20,15,21,201,623,335.4
2012,50,39,32,35,23,41,8,34,20,25,18,165,537,291.3
2013,40,35,20,33,23,29,10,23,18,24,22,166,543,279.7
2014,38,43,23,37,24,31,10,23,20,29,23,174,582,305.2
2015,56,43,31,41,24,41,10,32,19,32,29,203,497,276
2016,47,30,29,30,20,37,12,28,15,28,25,169,578,337.2
2017,51,36,30,38,22,36,11,31,21,34,31,139,549,241.8
