year,annual-estival-days
1987,134
1988,110
1989,127
1990,134
1991,125
1992,115
1993,101
1994,125
1995,138
1996,111
1997,123
1998,113
1999,132
2000,136
2001,132
2002,129
2003,145
2004,137
2005,136
2006,143
2007,124
2008,112
2009,142
2010,128
2011,142
2012,142
2013,131
2014,145
2015,135
2016,132
