id;year;Annual estival days
73081;1987;69
73081;1988;71
73081;1989;102
73081;1990;100
73081;1991;87
73081;1992;67
73081;1993;54
73081;1994;82
73081;1995;89
73081;1996;64
73081;1997;97
73081;1998;87
73081;1999;100
73081;2000;87
73081;2001;79
73081;2002;69
73081;2003;108
73081;2004;97
73081;2005;101
73081;2006;98
73081;2007;74
73081;2008;70
73081;2009;111
73081;2010;88
73081;2011;105
73081;2012;95
73081;2013;81
73081;2014;98
73081;2015;89
73081;2016;90
