year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,10.0,16.7,24.3,14.6
1988,10.4,18.3,23.9,13.3
1989,9.7,17.5,22.9,14.1
1990,10.0,18.0,22.8,15.4
1991,10.0,17.2,22.7,13.8
1992,9.0,17.5,22.4,15.4
1993,9.3,18.1,23.4,15.6
1994,10.8,18.7,24.2,14.9
1995,11.2,18.2,23.6,13.8
1996,9.9,18.0,23.5,14.5
1997,10.1,17.5,22.7,14.7
1998,10.2,18.6,24.2,15.3
1999,10.9,19.3,24.1,16.6
2000,9.6,18.4,23.9,15.4
2001,12.4,18.2,24.5,14.5
2002,11.1,18.1,24.3,15.2
2003,9.8,17.9,24.1,16.0
2004,10.5,18.1,23.5,15.9
2005,10.5,17.9,23.9,14.7
2006,10.2,18.3,23.4,14.0
2007,11.1,18.7,23.9,14.9
2008,11.0,19.0,24.0,15.8
2009,11.1,18.2,23.5,16.0
2010,12.1,19.2,25.0,16.4
2011,10.6,17.6,24.3,13.0
2012,9.0,19.3,25.1,15.9
2013,12.0,19.3,23.7,15.2
2014,11.6,18.8,24.8,15.3
2015,10.0,18.1,24.6,15.1
2016,12.0,20.3,24.3,14.3
