year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,221,78,0,209
1988,229,17,0,182
1989,236,23,0,236
1990,84,19,40,125
1991,189,58,3,249
1992,263,15,0,132
1993,343,91,1,283
1994,302,19,0,381
1995,223,19,11,127
1996,433,15,50,278
1997,390,29,0,252
1998,211,22,0,315
1999,205,10,43,259
2000,237,11,0,303
2001,178,62,5,478
2002,193,18,59,231
2003,572,69,12,391
2004,226,26,0,263
2005,266,1,26,168
2006,333,31,21,509
2007,189,66,2,227
2008,185,39,29,233
2009,315,86,47,270
2010,208,15,3,439
2011,360,148,11,263
2012,495,32,0,233
2013,212,73,10,329
2014,227,25,71,426
2015,541,126,21,146
2016,165,22,15,243
