year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,182,224,204,214
1988,388,312,121,105
1989,183,296,111,151
1990,185,276,105,469
1991,191,214,274,289
1992,121,285,415,471
1993,31,328,327,407
1994,160,217,182,274
1995,360,104,220,208
1996,180,143,252,245
1997,81,275,259,275
1998,110,259,293,189
1999,189,207,280,321
2000,180,310,155,519
2001,358,172,136,103
2002,137,219,167,261
2003,243,170,156,281
2004,220,149,188,289
2005,114,238,132,272
2006,186,157,252,183
2007,268,207,167,144
2008,264,264,164,300
2009,278,198,147,334
2010,204,180,113,336
2011,107,119,163,255
2012,83,356,74,270
2013,316,406,94,260
2014,372,192,216,240
2015,286,208,174,77
2016,400,179,82,146
