year,annual-average-temperature
1987,12.9
1988,13.4
1989,14.1
1990,14.1
1991,13.1
1992,13.5
1993,13.5
1994,14.2
1995,13.9
1996,13.2
1997,14.5
1998,13.5
1999,13.8
2000,14.0
2001,13.7
2002,14.2
2003,14.7
2004,13.7
2005,13.5
2006,14.4
2007,13.5
2008,13.3
2009,14.2
2010,12.9
2011,14.7
2012,13.8
2013,13.5
2014,14.6
2015,14.3
2016,14.1
