year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,5.7,14.8,20.7,10.4
1988,8.3,15.8,19.4,10.0
1989,7.9,15.9,20.6,11.9
1990,9.7,15.8,21.2,9.6
1991,7.5,14.0,21.8,8.9
1992,7.1,15.7,20.5,10.8
1993,8.0,15.9,19.2,10.8
1994,9.1,15.2,20.8,11.8
1995,8.4,15.5,20.3,11.4
1996,7.9,15.9,18.9,10.0
1997,9.2,16.5,20.8,11.6
1998,9.1,15.6,20.1,9.2
1999,8.0,16.6,21.1,9.5
2000,7.8,16.4,20.2,11.4
2001,9.7,15.7,20.0,9.2
2002,9.4,16.0,19.3,12.2
2003,7.8,17.5,22.6,10.5
2004,7.4,16.5,20.7,10.2
2005,6.6,17.1,20.4,9.5
2006,7.1,16.9,21.8,11.5
2007,8.9,17.2,19.1,8.8
2008,9.0,15.8,19.3,9.2
2009,7.3,16.8,21.2,11.3
2010,6.4,15.4,20.4,9.2
2011,8.2,17.7,20.6,12.0
2012,6.9,16.2,20.8,11.2
2013,7.5,14.0,21.3,10.9
2014,9.6,16.3,20.0,12.3
2015,7.5,17.0,20.3,12.1
2016,9.2,15.4,21.2,10.7
