year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,seed-maize,grain-sorghum,winter-rapeseed,sunflower,soybean,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,45,50,50,99,34,60,30,22,26,33,70,173,92,67
2001,44,45,,91,35,55,28,23,23,30,72,161,73,60
2002,56,53,,106,32,65,30,23,22,30,63,190,96,73
2003,49,45,,81,32,45,30,20,20,20,70,115,48,43
2004,56,53,,99,36,60,30,25,24,30,84,183,76,55
2005,50,48,,96,38,50,30,20,20,20,79,110,49,37
2006,53,58,,93,38,60,24,25,24,20,74,110,49,42
2007,47,47,,105,37,65,22,24,22,20,54,140,75,57
2008,50,47,50,105,36,65,29,25,23,20,54,144,80,58
2009,42,44,48,95,35,63,30,24,24,20,75,141,73,54
2010,58,47,55,94,36,57,23,24,23,20,72,137,52,36
2011,56,49,45,115,35,62,32,28,28,20,87,181,70,53
2012,60,60,55,92,38,63,25,22,24,20,62,143,57,41
2013,50,58,46,78,38,46,25,22,22,24,54,118,64,50
2014,52,58,50,108,35,62,26,27,30,24,66,169,91,68
2015,55,57,50,99,38,44,24,23,33,25,85,142,77,59
2016,56,59,48,96,37,45,26,21,27,20,85,102,59,44
2017,65,58,49,119,45,53,28,26,35,23,71,168,88,65
