year,A1,A2,A3
,label A1,label A2,label A3
1987,43,1774,312
1988,63,1830,384
1989,41,1823,290
1990,45,2013,313
1991,37,1951,312
1992,46,1957,303
1993,48,1862,313
1994,34,1969,253
1995,37,2029,237
1996,33,2036,265
1997,27,1987,254
1998,48,1909,319
1999,40,1879,343
2000,39,2087,323
2001,39,1947,221
2002,52,1956,351
2003,29,2139,196
2004,40,1921,266
2005,25,1976,207
2006,71,1801,466
2007,41,2021,249
2008,43,1865,279
2009,50,1842,329
2010,37,1684,243
2011,45,2106,311
2012,37,1781,262
2013,36,2067,227
2014,27,1768,213
2015,39,2089,229
2016,52,1921,299
2016
2017,53,1579,329
2018,68,1396,404
2019,89,1692,539
2020,50,1748,305
2021,63,1806,451
2022,74,1758,412
2023,64,1744,476
2024,51,1762,366
2025,64,1498,416
2026,43,1728,318
2027,70,1769,463
2028,65,1687,429
2029,50,1631,415
2030,48,1489,360
2031,82,1304,461
2032,66,1772,440
2033,61,1583,381
2034,69,1818,472
2035,76,1515,541
2036,80,1804,512
2037,66,1503,449
2038,87,1508,540
2039,52,1672,351
2040,69,1681,445
2041,71,1875,414
2042,57,1689,354
2043,78,1631,471
2044,80,1421,493
2045,79,1731,443
2046,74,1762,469

min,,1200
max,,2550
steps,,10
decimal



