year,winter-soft-wheat,winter-barley,triticale,rye,maize-for-grain,winter-rapeseed,linseed-oild,spring-field-peas,broad-bean,sugar-beet,potatoes,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,83,75,70,66,95,31,25,40,45,730,426,130,109,86
2001,82,75,70,60,87,32,25,47,50,595,417,135,87,65
2002,85,78,70,70,89,35,20,54,57,750,475,145,93,76
2003,75,60,70,70,86,36,20,50,50,734,437,149,83,65
2004,92,82,75,75,102,43,22,57,65,787,495,150,105,84
2005,81,81,70,60,92,41,22,42,43,830,476,145,73,59
2006,80,75,72,64,87,31,20,42,42,758,447,130,90,64
2007,76,68,66,65,98,33,20,37,56,808,488,140,109,87
2008,85,80,72,78,95,37,20,44,65,830,468,158,103,76
2009,90,84,62,62,96,42,25,54,54,899,468,150,82,65
2010,84,78,55,60,93,38,23,48,35,813,429,140,88,69
2011,82,72,58,52,102,43,20,42,46,929,479,155,69,54
2012,81,76,62,63,90,38,22,43,52,838,438,145,99,81
2013,91,75,65,66,90,36,22,45,38,830,429,144,82,73
2014,93,82,65,68,102,41,20,45,40,894,474,160,129,98
2015,95,93,63,60,88,41,23,43,31,865,432,150,77,61
2016,53,60,35,60,66,32,18,28,34,817,420,135,90,74
2017,84,82,63,64,101,44,25,40,26,926,460,150,69,59
