year,annual-frozen-days
1987,75
1988,44
1989,58
1990,41
1991,69
1992,48
1993,49
1994,34
1995,43
1996,75
1997,52
1998,46
1999,33
2000,24
2001,44
2002,28
2003,57
2004,47
2005,60
2006,62
2007,30
2008,49
2009,47
2010,76
2011,26
2012,37
2013,55
2014,18
2015,33
2016,45
