year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,143,159,259,178
1988,216,140,218,192
1989,112,184,123,126
1990,146,172,101,163
1991,105,103,112,145
1992,57,213,134,173
1993,87,141,173,257
1994,140,173,200,171
1995,296,145,205,101
1996,113,97,159,187
1997,81,210,102,213
1998,106,210,152,195
1999,143,213,232,250
2000,130,179,310,326
2001,265,175,272,172
2002,177,126,107,260
2003,81,175,129,117
2004,125,119,173,139
2005,87,180,127,107
2006,187,165,176,203
2007,216,153,182,184
2008,166,145,107,166
2009,125,173,97,199
2010,136,94,257,180
2011,136,105,185,161
2012,79,277,179,294
2013,83,168,129,219
2014,136,165,206,195
2015,127,114,154,123
2016,220,305,106,98
