year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,74,-87,-2,101
1988,129,-113,-37,133
1989,25,-98,-188,33
1990,40,-107,-234,90
1991,30,-132,-199,84
1992,-26,-76,-166,106
1993,-4,-147,-119,185
1994,51,-113,-110,90
1995,197,-117,-135,22
1996,30,-196,-150,114
1997,-11,-80,-214,134
1998,7,-69,-148,121
1999,48,-73,-96,166
2000,38,-107,33,236
2001,175,-114,-29,94
2002,72,-167,-187,177
2003,-34,-149,-243,37
2004,22,-173,-148,64
2005,2,-120,-180,18
2006,106,-122,-166,115
2007,117,-150,-100,111
2008,67,-140,-201,95
2009,38,-113,-245,115
2010,44,-203,-51,105
2011,36,-245,-118,76
2012,-15,22,-123,221
2013,14,-86,-186,144
2014,32,-118,-68,122
2015,39,-198,-173,47
2016,129,62,-206,31
