year,F1,F3,M4
,label F1,label F3,label M4
1987,46,117,2
1988,50,130,5
1989,59,131,3
1990,44,133,1
1991,62,132,2
1992,46,128,2
1993,37,133,1
1994,70,138,1
1995,57,120,0
1996,55,132,3
1997,71,132,2
1998,60,127,1
1999,36,140,2
2000,57,126,0
2001,47,127,3
2002,72,132,2
2003,54,135,2
2004,61,130,3
2005,57,133,3
2006,64,141,2
2007,50,135,2
2008,74,140,3
2009,48,136,1
2010,52,125,2
2011,37,136,2
2012,43,132,1
2013,42,131,1
2014,36,134,0
2015,45,138,1
2016,51,129,2
2016
2017,50,130,3
2018,49,125,2
2019,45,135,1
2020,50,120,1
2021,26,130,2
2022,64,133,4
2023,46,124,2
2024,46,132,4
2025,61,131,4
2026,54,117,5
2027,43,112,4
2028,38,126,2
2029,48,130,1
2030,49,124,3
2031,36,122,3
2032,51,132,3
2033,54,116,1
2034,37,137,1
2035,48,126,1
2036,30,112,4
2037,37,131,2
2038,35,129,2
2039,45,126,5
2040,31,139,2
2041,63,120,4
2042,50,133,2
2043,33,126,2
2044,46,130,2
2045,67,123,1
2046,43,125,1

min,,80,0
max,,170,8
steps,,10,9
decimal



