year,A1,A2,A3
,label A1,label A2,label A3
1987,7,2453,65
1988,9,2502,99
1989,8,2721,72
1990,4,2509,73
1991,15,2743,130
1992,7,2616,68
1993,12,2601,97
1994,9,2826,99
1995,10,2489,69
1996,8,2715,97
1997,9,2512,92
1998,14,2661,89
1999,10,2640,77
2000,4,2790,57
2001,21,2609,130
2002,8,2786,75
2003,7,2566,64
2004,18,2790,122
2005,10,2844,86
2006,6,2878,69
2007,20,2780,131
2008,10,2913,99
2009,12,2719,94
2010,7,2667,50
2011,13,2667,106
2012,6,2686,65
2013,13,2673,105
2014,10,2765,84
2015,6,2744,69
2016,2,2707,35
2016
2017,28,2665,188
2018,15,2384,128
2019,25,2444,181
2020,20,2230,128
2021,11,2354,120
2022,16,2519,128
2023,22,2310,186
2024,17,2427,144
2025,25,2669,168
2026,22,2204,215
2027,23,2234,197
2028,15,2340,128
2029,20,2314,171
2030,29,2513,244
2031,23,2287,138
2032,13,2386,99
2033,28,2347,191
2034,19,2509,150
2035,12,2270,103
2036,38,2158,249
2037,5,2381,58
2038,16,2383,118
2039,14,2345,137
2040,17,2628,158
2041,24,2325,181
2042,18,2354,129
2043,22,2292,172
2044,20,2380,134
2045,36,2519,253
2046,34,2301,242

min,,1600
max,,3200
steps,,9
decimal



