year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9
1987,1452,11,-193,0
1988,1479,12,-339,5
1989,1393,10,-288,2
1990,1396,10,-145,0
1991,1549,11,-386,1
1992,1271,9,-146,3
1993,1334,12,-450,3
1994,1322,10,-352,4
1995,1323,10,-42,0
1996,1567,11,-453,4
1997,1431,10,-514,0
1998,1501,11,-269,3
1999,1243,7,-284,4
2000,1377,9,-423,0
2001,1588,11,-290,0
2002,1429,12,-228,2
2003,1305,12,-339,2
2004,1337,11,-339,2
2005,1398,10,-371,7
2006,1342,12,-188,3
2007,1452,10,-348,3
2008,1330,10,-272,2
2009,1369,10,-285,2
2010,1238,10,-208,2
2011,1584,12,-337,2
2012,1376,12,-223,3
2013,1424,11,-216,2
2014,1438,10,-200,2
2015,1382,10,-265,1
2016,1137,10,-255,4
2016
2017,1680,11,-457,0
2018,1566,10,-352,0
2019,1611,14,-285,3
2020,1457,10,-295,0
2021,1523,12,-293,2
2022,1652,12,-370,2
2023,1700,12,-450,0
2024,1481,11,-404,3
2025,1653,12,-325,1
2026,1882,13,-580,0
2027,1843,10,-495,0
2028,1534,11,-295,0
2029,1548,10,-471,2
2030,1751,10,-565,1
2031,1618,11,-419,0
2032,1382,11,-340,4
2033,1831,13,-285,0
2034,1563,12,-415,3
2035,1472,11,-281,1
2036,1759,14,-374,1
2037,1498,11,-371,0
2038,1597,11,-331,2
2039,1594,11,-404,1
2040,1504,10,-316,1
2041,1865,11,-432,0
2042,1443,9,-377,2
2043,1736,13,-398,9
2044,1548,12,-352,1
2045,1704,12,-416,0
2046,1768,12,-371,3

min,1000,6
max,2500,16
steps,7,11
decimal



