year,annual-estival-days
1987,38
1988,37
1989,60
1990,38
1991,65
1992,37
1993,39
1994,51
1995,43
1996,41
1997,54
1998,40
1999,42
2000,48
2001,43
2002,34
2003,77
2004,50
2005,54
2006,60
2007,34
2008,40
2009,55
2010,49
2011,50
2012,51
2013,49
2014,22
2015,55
2016,51
