year,A1,A2,A3
,label A1,label A2,label A3
1987,13,2604,87
1988,6,2641,61
1989,10,2520,77
1990,5,2754,73
1991,8,2799,82
1992,26,2829,168
1993,8,2644,87
1994,2,2957,34
1995,17,2686,101
1996,10,2716,94
1997,24,2795,188
1998,20,2851,139
1999,19,2786,160
2000,3,2720,54
2001,15,2831,116
2002,23,2629,142
2003,4,2639,42
2004,13,2639,105
2005,16,2553,138
2006,33,2435,202
2007,29,2931,186
2008,17,2781,120
2009,2,2641,29
2010,15,2813,99
2011,31,2591,182
2012,10,2521,89
2013,19,2803,113
2014,11,2617,109
2015,24,2641,127
2016,17,2710,133
2016
2017,47,2230,279
2018,24,2396,169
2019,29,2328,183
2020,30,2341,211
2021,43,2354,293
2022,35,2296,208
2023,32,2199,264
2024,28,2067,194
2025,43,2294,297
2026,20,2253,156
2027,53,2376,365
2028,47,2278,311
2029,33,2057,260
2030,32,2658,263
2031,52,2176,279
2032,46,2431,353
2033,24,2207,151
2034,35,2495,201
2035,38,2340,256
2036,22,2142,151
2037,31,2237,211
2038,38,2535,239
2039,51,2596,300
2040,23,2453,158
2041,52,2275,346
2042,51,2508,334
2043,37,2404,233
2044,55,2676,355
2045,46,2263,295
2046,41,2454,272
