year,A1,A2,A3
,label A1,label A2,label A3
1987,0,3826,12
1988,2,3857,29
1989,9,3719,79
1990,6,3557,49
1991,0,3738,16
1992,0,3973,26
1993,4,3978,64
1994,0,3564,14
1995,2,4005,24
1996,1,3614,20
1997,3,3668,34
1998,10,3817,61
1999,0,3795,6
2000,2,3696,22
2001,2,3842,24
2002,3,3812,30
2003,1,3624,20
2004,0,3769,3
2005,5,3823,52
2006,0,3868,5
2007,2,3959,30
2008,1,3724,40
2009,2,3791,21
2010,0,3697,40
2011,1,3746,16
2012,0,3715,11
2013,0,3891,27
2014,0,3896,15
2015,0,3818,12
2016,2,3712,20
2016
2017,4,3532,57
2018,3,3327,59
2019,3,3243,46
2020,5,3447,47
2021,1,3228,40
2022,15,3570,88
2023,8,3263,106
2024,2,3272,52
2025,6,3551,69
2026,4,3345,41
2027,5,3346,63
2028,2,3669,17
2029,1,3363,31
2030,6,3362,77
2031,5,3250,53
2032,7,3772,50
2033,6,3603,69
2034,1,3447,19
2035,6,3371,56
2036,8,3031,82
2037,2,3473,38
2038,11,3303,64
2039,3,3277,59
2040,5,3743,59
2041,1,3352,38
2042,1,3150,24
2043,6,3238,53
2044,1,3531,15
2045,6,3899,52
2046,4,3242,69
