year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,-1,-165,-114,28
1988,62,-195,-95,19
1989,-27,-232,-187,41
1990,-30,-207,-5,41
1991,9,-135,-163,20
1992,47,-177,-154,134
1993,40,-178,-28,139
1994,134,-109,-80,70
1995,60,-54,-107,111
1996,24,-55,-22,109
1997,3,-43,-67,144
1998,67,-6,22,116
1999,94,-101,-79,97
2000,34,-67,-5,167
2001,116,-110,25,125
2002,64,-104,-146,215
2003,-20,-29,137,127
2004,124,-50,20,158
2005,81,-79,-67,98
2006,83,-111,-23,160
2007,100,-89,34,76
2008,34,-198,58,94
2009,18,-141,-82,114
2010,58,-136,-41,171
2011,18,-159,-24,50
2012,26,-64,36,117
2013,34,-47,-80,58
2014,53,-92,-59,106
2015,59,-87,-111,20
2016,16,-201,-167,120
