year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,197,248,212,163
1988,254,67,163,215
1989,108,111,200,180
1990,68,99,119,111
1991,126,154,119,226
1992,104,177,190,196
1993,154,138,196,209
1994,224,244,238,180
1995,205,168,171,71
1996,60,141,160,170
1997,121,137,87,167
1998,114,182,278,299
1999,160,195,225,187
2000,197,162,228,134
2001,202,143,266,205
2002,194,250,209,238
2003,119,149,117,131
2004,198,190,237,140
2005,203,333,238,122
2006,181,285,243,196
2007,274,373,468,174
2008,186,245,205,179
2009,136,164,227,202
2010,114,150,231,155
2011,89,156,174,128
2012,110,213,208,170
2013,109,311,113,227
2014,72,182,339,133
2015,127,88,227,127
2016,166,138,222,108
