year,annual-frozen-days
1987,95
1988,69
1989,67
1990,50
1991,85
1992,66
1993,74
1994,53
1995,92
1996,112
1997,84
1998,75
1999,66
2000,49
2001,84
2002,60
2003,94
2004,94
2005,88
2006,83
2007,57
2008,71
2009,79
2010,110
2011,85
2012,71
2013,92
2014,56
2015,69
2016,68
