year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1299,13,-149,5
1988,1013,8,-177,8
1989,1063,10,-233,21
1990,1477,10,-168,5
1991,1247,10,-292,8
1992,1177,8,-253,9
1993,1035,8,-311,13
1994,1048,9,-234,1
1995,1415,12,-130,2
1996,1663,11,-351,0
1997,1409,11,-297,1
1998,1384,10,-153,1
1999,1134,8,-244,6
2000,1301,9,-329,6
2001,1297,10,-73,0
2002,1514,10,-294,0
2003,1588,10,-207,2
2004,1537,11,-179,3
2005,1308,11,-246,9
2006,1184,9,-205,8
2007,1296,10,-188,5
2008,1422,11,-138,1
2009,1167,9,-146,8
2010,1359,12,-175,14
2011,1345,9,-40,12
2012,1442,12,-125,4
2013,1204,10,-93,3
2014,1288,11,-96,7
2015,1308,10,-146,5
2016,1291,10,-209,1
2016
2017,1217,11,-110,7
2018,1495,11,-239,1
2019,1582,9,-243,7
2020,1251,9,-128,6
2021,1173,9,-233,8
2022,1369,10,-178,0
2023,1470,11,-269,1
2024,1563,10,-373,3
2025,1572,10,-177,2
2026,1327,11,-430,9
2027,1597,11,-281,4
2028,1522,11,-264,9
2029,1673,11,-383,0
2030,1730,10,-450,0
2031,1327,10,-42,4
2032,1622,12,-282,4
2033,1649,12,-256,0
2034,1118,10,-172,7
2035,1420,11,-129,5
2036,1398,10,-207,4
2037,1502,10,-199,0
2038,1650,11,-200,1
2039,1400,11,-105,4
2040,1468,10,-188,1
2041,1472,11,-201,3
2042,1657,11,-242,1
2043,1693,13,-255,2
2044,1587,10,-210,6
2045,1524,10,-295,3
2046,1521,11,-132,1

min,,4
max,,17
steps,,8
decimal
