year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.7,11.7,16.5,5.8
1988,3.5,13.1,16.5,5.9
1989,4.4,12.7,17.4,6.0
1990,5.6,12.5,16.0,5.6
1991,2.2,10.4,17.9,4.7
1992,3.5,13.3,17.4,5.0
1993,2.1,14.6,15.7,4.4
1994,3.6,12.9,18.1,6.9
1995,3.2,12.3,17.7,4.8
1996,-0.4,11.8,15.0,4.2
1997,3.0,12.0,17.6,5.2
1998,4.5,13.5,16.1,4.2
1999,3.6,13.2,18.4,5.4
2000,4.3,14.4,16.3,6.8
2001,3.1,12.6,17.0,6.0
2002,4.2,13.4,17.1,5.6
2003,2.2,14.5,18.5,5.3
2004,3.1,12.6,17.0,5.2
2005,2.7,13.4,17.2,6.2
2006,0.2,12.7,18.6,8.2
2007,5.4,14.8,15.7,5.0
2008,4.2,13.3,16.5,5.2
2009,1.1,13.8,17.4,5.7
2010,0.5,12.2,16.8,3.5
2011,3.0,14.4,16.9,6.0
2012,2.9,12.8,16.6,5.3
2013,0.4,12.3,17.2,6.1
2014,5.1,13.2,17.0,7.3
2015,3.0,12.3,17.7,7.8
2016,3.3,13.0,18.2,5.0
