year,annual-estival-days
1987,16
1988,23
1989,39
1990,31
1991,30
1992,39
1993,36
1994,41
1995,47
1996,25
1997,41
1998,28
1999,44
2000,37
2001,40
2002,32
2003,69
2004,33
2005,45
2006,54
2007,33
2008,32
2009,34
2010,37
2011,39
2012,34
2013,38
2014,32
2015,43
2016,42

min,16
max,130
steps,9
decimal
