year,F1,F3,M4
,label F1,label F3,label M4-LCF
1987,61,134,0
1988,62,121,0
1989,83,140,0
1990,64,136,0
1991,81,148,0
1992,80,152,0
1993,86,147,0
1994,67,138,0
1995,79,129,0
1996,71,133,1
1997,83,143,0
1998,84,147,0
1999,79,141,1
2000,64,135,1
2001,72,140,0
2002,82,132,0
2003,81,137,0
2004,78,141,0
2005,73,125,0
2006,73,145,1
2007,59,144,0
2008,75,131,0
2009,69,121,0
2010,79,142,0
2011,74,135,0
2012,56,148,0
2013,57,129,1
2014,69,143,0
2015,64,118,0
2016,83,137,0
2016
2017,67,132,1
2018,84,142,0
2019,53,141,0
2020,64,130,0
2021,53,122,0
2022,59,129,0
2023,53,135,0
2024,82,143,0
2025,62,135,0
2026,79,133,1
2027,56,128,0
2028,72,125,0
2029,81,139,0
2030,55,120,0
2031,71,125,0
2032,70,137,0
2033,54,146,0
2034,71,141,0
2035,80,142,0
2036,72,136,0
2037,43,130,0
2038,55,130,0
2039,71,140,0
2040,77,143,0
2041,77,143,1
2042,92,143,0
2043,75,142,0
2044,82,135,0
2045,58,137,0
2046,51,125,0

min,,90,0
max,,190,6
steps,,11,7
decimal
