year,annual-frozen-days
1987,91
1988,62
1989,64
1990,39
1991,80
1992,51
1993,66
1994,49
1995,79
1996,105
1997,69
1998,72
1999,59
2000,45
2001,80
2002,57
2003,90
2004,79
2005,78
2006,78
2007,55
2008,72
2009,78
2010,104
2011,79
2012,62
2013,84
2014,48
2015,61
2016,68
