year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,143,14,-33,105
1988,185,-207,-111,161
1989,30,-176,-73,116
1990,-26,-165,-149,52
1991,58,-69,-169,169
1992,61,-83,-4,173
1993,77,-161,-63,153
1994,147,-29,-49,121
1995,129,-57,-86,22
1996,-3,-86,-70,142
1997,49,-94,-167,93
1998,28,-80,25,248
1999,97,-61,-43,139
2000,134,-119,-9,72
2001,139,-129,-23,146
2002,106,-17,-50,181
2003,45,-169,-218,75
2004,120,-113,-50,121
2005,106,-4,-86,91
2006,72,-25,-142,101
2007,144,-99,70,148
2008,81,-125,-118,82
2009,103,-116,-116,171
2010,89,-137,-73,92
2011,20,-193,-106,109
2012,61,-109,-140,121
2013,27,-51,-177,95
2014,-28,-83,-47,67
2015,12,-203,-107,50
2016,71,-161,-187,35
