year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,256,-209,-274,383
1988,223,113,-346,130
1989,143,-107,-343,511
1990,44,-241,-326,256
1991,266,-312,-294,193
1992,-68,-234,-329,102
1993,-89,-87,-282,211
1994,31,-202,-357,132
1995,56,-274,-284,394
1996,290,-170,-320,199
1997,-27,-159,-270,348
1998,-76,-140,-314,-42
1999,43,-194,-111,311
2000,-90,-16,-383,314
2001,786,-240,-307,64
2002,201,-267,-217,566
2003,308,-216,-303,308
2004,77,-299,-296,253
2005,-16,-264,-402,250
2006,206,-256,-292,451
2007,101,-189,-356,-1
2008,97,2,-334,88
2009,149,-232,-417,575
2010,449,-184,-442,397
2011,205,-308,-356,148
2012,-127,-124,-363,196
2013,357,-286,-374,238
2014,336,-248,-253,245
2015,-6,-278,-327,95
2016,435,33,-412,101
