year,annual-frozen-days
1987,21
1988,17
1989,19
1990,27
1991,29
1992,18
1993,14
1994,9
1995,21
1996,3
1997,4
1998,6
1999,9
2000,24
2001,12
2002,3
2003,11
2004,7
2005,23
2006,11
2007,11
2008,7
2009,14
2010,22
2011,7
2012,14
2013,10
2014,2
2015,12
2016,5
