year,annual-estival-days
1987,94
1988,77
1989,110
1990,104
1991,104
1992,70
1993,64
1994,63
1995,112
1996,62
1997,66
1998,88
1999,91
2000,112
2001,84
2002,97
2003,95
2004,104
2005,110
2006,111
2007,92
2008,69
2009,105
2010,109
2011,123
2012,91
2013,104
2014,91
2015,116
2016,110

min,20
max,180
steps,9
decmals
