year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,365,130,134,465
1988,356,381,49,230
1989,263,227,76,620
1990,169,112,103,347
1991,371,68,115,286
1992,71,125,106,206
1993,34,214,122,305
1994,166,154,24,250
1995,188,109,112,509
1996,419,188,79,307
1997,130,175,126,463
1998,66,179,94,60
1999,169,140,272,406
2000,49,308,49,427
2001,885,132,82,164
2002,322,79,186,657
2003,416,156,99,398
2004,190,76,98,347
2005,107,112,39,348
2006,317,148,148,540
2007,226,158,79,110
2008,217,333,65,198
2009,293,128,37,681
2010,559,178,9,493
2011,319,89,51,261
2012,18,193,60,291
2013,462,80,83,333
2014,448,112,129,336
2015,124,110,83,186
2016,547,359,26,190
