year,A1,A2,A3
,label A1,label A2,label A3
1987,33,2038,263
1988,47,1836,339
1989,21,2032,211
1990,22,1922,235
1991,37,1967,337
1992,29,1747,306
1993,35,1793,259
1994,20,1745,242
1995,35,1984,270
1996,37,1884,328
1997,25,1913,260
1998,25,1829,245
1999,30,1850,265
2000,25,1865,254
2001,40,1872,273
2002,15,1813,221
2003,13,1863,181
2004,24,1830,247
2005,19,1873,185
2006,42,1859,324
2007,29,1871,230
2008,29,1677,239
2009,28,1981,248
2010,34,1816,274
2011,42,1918,311
2012,44,1846,311
2013,38,2116,340
2014,26,2045,250
2015,44,1720,330
2016,29,1841,237
2016
2017,58,1712,426
2018,70,1289,487
2019,64,1617,446
2020,65,1548,460
2021,53,1676,444
2022,63,1596,448
2023,61,1851,510
2024,50,1552,415
2025,88,1587,609
2026,88,1716,625
2027,73,1602,602
2028,74,1566,496
2029,62,1650,443
2030,52,1645,450
2031,77,1459,559
2032,57,1643,458
2033,29,1618,267
2034,63,1589,452
2035,76,1380,517
2036,88,1670,698
2037,79,1572,553
2038,70,1870,476
2039,50,1718,370
2040,64,1744,443
2041,39,1618,376
2042,74,1584,576
2043,61,1566,458
2044,64,1601,510
2045,68,1572,483
2046,58,1674,460
