year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,53,-249,-353,13
1988,-63,-19,-379,-67
1989,-100,-237,-398,175
1990,-118,-209,-372,-7
1991,15,-283,-414,-11
1992,-103,-196,-392,54
1993,-57,-87,-348,62
1994,-58,-234,-379,67
1995,-72,-279,-370,21
1996,46,-226,-371,109
1997,-74,-163,-224,154
1998,-86,-161,-341,-24
1999,-46,-220,-318,71
2000,-110,-175,-367,148
2001,96,-335,-392,-53
2002,-56,-257,-321,112
2003,39,-290,-419,90
2004,-42,-258,-385,-29
2005,-110,-324,-501,21
2006,-46,-356,-422,87
2007,18,-147,-324,1
2008,-51,-57,-378,42
2009,-83,-275,-423,110
2010,123,-160,-412,108
2011,27,-266,-376,-14
2012,-102,-221,-420,77
2013,75,-146,-361,76
2014,6,-236,-321,19
2015,-40,-273,-427,26
2016,74,-178,-428,-12
