year,F1,F3,M4
,label F1,label F3,label M4-FGN
1987,42,125,2
1988,70,134,3
1989,59,123,2
1990,48,126,2
1991,48,131,3
1992,56,141,2
1993,50,121,1
1994,50,126,2
1995,44,131,4
1996,33,120,3
1997,54,122,2
1998,49,131,4
1999,47,131,4
2000,53,127,4
2001,58,131,1
2002,41,139,2
2003,60,127,2
2004,67,133,3
2005,54,130,3
2006,57,134,2
2007,50,128,2
2008,41,130,3
2009,64,146,4
2010,50,124,2
2011,45,130,2
2012,38,138,1
2013,53,131,3
2014,33,120,2
2015,49,129,2
2016,44,129,2
2016
2017,31,110,4
2018,42,113,4
2019,43,121,3
2020,36,121,3
2021,58,128,2
2022,33,118,4
2023,54,123,4
2024,33,119,2
2025,43,132,3
2026,37,125,2
2027,37,116,3
2028,30,133,2
2029,55,130,2
2030,34,124,2
2031,35,122,3
2032,39,114,3
2033,39,113,2
2034,42,135,3
2035,54,133,2
2036,48,124,3
2037,29,125,2
2038,49,124,3
2039,40,126,3
2040,56,124,4
2041,25,122,3
2042,47,117,3
2043,38,116,4
2044,47,127,4
2045,32,121,4
2046,43,118,4
