year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,154,197,133,348
1988,422,74,236,193
1989,179,158,112,275
1990,317,144,59,363
1991,185,151,101,204
1992,74,185,239,313
1993,83,205,184,274
1994,251,213,214,284
1995,373,105,126,143
1996,142,104,132,278
1997,150,146,72,396
1998,136,210,173,299
1999,194,99,195,309
2000,111,205,120,428
2001,419,117,215,273
2002,367,213,230,414
2003,177,128,107,314
2004,207,139,201,330
2005,161,155,185,274
2006,226,108,151,336
2007,359,271,261,264
2008,361,207,267,495
2009,222,191,141,566
2010,245,84,131,485
2011,210,105,223,328
2012,143,335,266,575
2013,194,112,90,344
2014,335,160,175,355
2015,231,102,227,168
2016,337,153,95,178
