year,annual-frozen-days
1987,50
1988,18
1989,18
1990,12
1991,24
1992,43
1993,27
1994,6
1995,6
1996,11
1997,10
1998,12
1999,4
2000,3
2001,5
2002,4
2003,12
2004,2
2005,10
2006,8
2007,17
2008,30
2009,10
2010,11
2011,1
2012,13
2013,9
2014,1
2015,5
2016,9
