year,A1,A2,A3
,label A1,label A2,label A3
1987,2,2086,25
1988,2,2351,9
1989,1,2219,23
1990,2,1938,21
1991,0,2429,22
1992,5,2223,63
1993,4,2293,36
1994,1,2109,22
1995,0,2165,7
1996,1,2177,31
1997,0,2449,32
1998,0,2483,12
1999,0,2292,13
2000,3,2113,47
2001,2,2296,28
2002,5,2184,37
2003,6,2339,62
2004,1,2270,16
2005,1,2179,17
2006,1,1938,19
2007,5,2295,24
2008,0,2294,11
2009,4,2316,44
2010,5,2163,37
2011,4,2019,42
2012,0,2032,8
2013,4,2083,27
2014,1,2232,22
2015,5,2151,43
2016,1,2313,13
2016
2017,1,2152,30
2018,5,2034,55
2019,5,1998,40
2020,3,2004,50
2021,1,1947,42
2022,1,2150,36
2023,2,1919,46
2024,1,1978,56
2025,5,1918,52
2026,3,2120,62
2027,1,1831,54
2028,2,1900,44
2029,3,2010,68
2030,6,2052,89
2031,4,1864,46
2032,4,1871,55
2033,6,2043,51
2034,4,1837,49
2035,2,1914,34
2036,1,1922,41
2037,4,1994,39
2038,10,1942,88
2039,5,1955,46
2040,6,2161,69
2041,1,2058,30
2042,8,1943,73
2043,0,2024,32
2044,5,2130,46
2045,0,1957,33
2046,4,2105,44

min,,1400
max,,3000
steps,,9
decimal
