year,annual-precipitations
1987,777
1988,752
1989,574
1990,624
1991,521
1992,745
1993,696
1994,759
1995,856
1996,751
1997,710
1998,602
1999,553
2000,555
2001,618
2002,817
2003,428
2004,628
2005,775
2006,874
2007,834
2008,766
2009,836
2010,833
2011,692
2012,793
2013,887
2014,677
2015,556
2016,881

min,300
max,2000
steps,10
decimal
