year,V1,V2,V3,V9
,label V1,label V2,label V3,label V9-LCF
1987,1130,9,-9,18
1988,1444,10,-96,1
1989,1123,10,4,9
1990,1129,9,-162,7
1991,1235,9,-155,7
1992,1189,9,-117,1
1993,1280,9,-168,3
1994,1562,10,-307,10
1995,1328,9,-185,2
1996,981,7,-154,17
1997,1215,9,-109,4
1998,1223,11,68,5
1999,1349,11,-255,1
2000,886,8,-145,2
2001,1192,10,-194,3
2002,1270,11,-39,5
2003,1630,11,-127,16
2004,1367,9,-100,2
2005,1205,8,-32,5
2006,1284,11,-15,0
2007,1282,10,20,11
2008,1098,9,-85,9
2009,1339,10,-155,0
2010,1371,9,-166,4
2011,1338,11,-76,2
2012,1358,9,-97,0
2013,1205,9,-90,6
2014,1267,10,-102,7
2015,1248,10,-117,3
2016,1426,10,-255,5
2016
2017,1597,10,-136,5
2018,1618,9,-261,7
2019,1483,11,-48,5
2020,1650,14,-262,8
2021,1706,10,-200,4
2022,1468,10,-241,5
2023,1443,12,-245,4
2024,1584,11,-325,3
2025,1395,8,-57,8
2026,1549,11,-353,4
2027,1561,12,-288,3
2028,1494,11,-89,1
2029,1441,12,-189,0
2030,1504,8,-195,4
2031,1397,13,-129,5
2032,1576,13,-46,1
2033,1748,13,-349,2
2034,1555,11,-123,5
2035,1282,10,-88,17
2036,1456,10,-247,4
2037,1437,10,-218,1
2038,1331,10,-290,10
2039,1640,11,-324,6
2040,1327,11,-207,3
2041,1590,10,-276,5
2042,1208,10,-142,14
2043,1450,11,-37,6
2044,1513,10,-249,2
2045,1650,12,-177,0
2046,1367,13,-94,0
