year,C1,C2,C3,C12,M1,M2,M8,Co2,Co3
,label C1,label C2-LCF,label C3,label C12,label M1-LCF,label M2,label M8,label Co2,label Co3
1987,14,14,28.9,3,5,14.67,60,21,146
1988,13,25,-17,1,7,-102,50,46,158
1989,4,13,88,3,8,11,72,45,199
1990,9,29,-50,4,8,-150,67,39,100
1991,7,31,-49,4,14,-147,74,36,178
1992,7,29,-38,2,11,-133,57,31,154
1993,7,32,-34,2,6,-93,60,48,202
1994,21,32,-196,4,13,-270,46,38,210
1995,12,20,-33,3,16,-130,62,22,120
1996,4,22,-69,3,1,-155,63,17,174
1997,2,44,15,1,5,-93,69,35,160
1998,2,27,27,2,3,-34,72,42,256
1999,10,19,-72,6,5,-189,49,27,147
2000,1,36,-128,3,2,-193,68,43,237
2001,7,44,-116,4,2,-189,59,31,142
2002,5,23,-37,1,5,-37,69,40,158
2003,29,34,-82,1,17,-124,51,38,181
2004,10,38,-34,2,13,-54,62,43,160
2005,7,43,-62,3,8,-87,68,19,220
2006,5,44,25,1,1,-21,56,43,174
2007,6,24,107,4,12,50,70,43,216
2008,2,24,72,2,8,-57,78,29,120
2009,9,25,-28,2,8,-159,60,53,134
2010,15,9,-27,2,15,-170,69,36,156
2011,9,21,-9,4,13,-78,68,30,194
2012,6,15,5,4,9,-84,52,44,140
2013,9,35,15,2,6,-40,63,43,169
2014,9,50,61,4,7,-64,69,51,91
2015,12,17,-40,4,1,-74,55,52,143
2016,12,15,-83,4,11,-161,60,33,132
2016
2017,20,29,34,2,17,-110,53,18,94
2018,24,28,-75,2,12,-186,41,41,131
2019,6,14,54,1,6,10,65,23,196
2020,24,19,-78,2,12,-184,52,26,150
2021,37,22,-61,2,10,-104,35,29,137
2022,21,14,-24,2,25,-174,59,22,77
2023,8,30,-92,3,16,-181,56,34,147
2024,12,20,-119,1,6,-237,58,44,139
2025,19,17,11,2,11,-89,55,31,151
2026,13,28,-111,4,10,-268,44,21,67
2027,19,14,-63,5,11,-199,49,29,65
2028,28,34,-37,1,16,-24,58,18,114
2029,13,26,-18,0,4,-73,58,24,170
2030,32,28,-98,3,6,-220,41,14,188
2031,14,20,-62,3,1,-77,56,34,188
2032,19,32,111,2,17,12,62,14,97
2033,32,35,-152,3,18,-308,52,21,96
2034,14,19,6,2,9,-98,51,20,113
2035,13,26,-23,4,11,-176,62,20,214
2036,12,16,-61,4,11,-200,61,21,145
2037,18,13,-15,2,5,-136,52,30,130
2038,10,33,-22,4,13,-263,67,23,67
2039,29,14,-83,5,23,-280,55,25,126
2040,4,20,1,5,8,-165,66,19,102
2041,15,35,-120,3,15,-241,49,17,134
2042,12,29,35,4,9,-114,63,37,68
2043,26,31,8,3,11,-103,58,31,203
2044,21,25,-35,3,17,-184,66,32,80
2045,5,29,-77,4,5,-148,40,40,187
2046,3,17,-43,2,3,-88,74,13,168

min,,,,,,,10
max,,,,,,,90
steps,,,,,,,9
decimal
