year,average-temperature-winter,average-temperature-spring,average-temperature-summer,average-temperature-fall
1987,-1.4,11.7,17.2,5.5
1988,3.1,13.1,16.7,5.7
1989,4.3,12.6,17.2,5.1
1990,3.9,12.1,15.9,4.4
1991,0.9,10.3,17.4,3.2
1992,3.7,14.0,18.9,5.9
1993,3.0,15.2,17.0,4.9
1994,4.3,13.4,18.8,7.3
1995,4.1,13.0,18.0,5.9
1996,0.8,13.1,15.9,5.1
1997,4.1,12.9,18.4,6.1
1998,4.3,14.1,16.9,4.5
1999,3.3,13.8,18.8,5.1
2000,4.0,14.9,16.9,7.2
2001,4.0,13.1,17.6,5.8
2002,4.1,14.0,17.2,6.7
2003,2.2,15.5,19.5,5.2
2004,3.3,13.5,18.4,6.1
2005,2.6,14.7,17.8,6.4
2006,1.2,14.3,19.6,9.0
2007,6.2,16.2,17.1,5.6
2008,5.4,15.0,17.5,6.2
2009,2.1,15.4,19.0,7.0
2010,2.1,13.7,17.9,4.8
2011,4.4,15.9,18.6,7.4
2012,3.5,14.9,18.8,6.8
2013,1.6,13.3,18.7,7.4
2014,6.6,15.2,18.2,8.4
2015,4.0,14.6,20.0,8.7
2016,4.7,14.1,19.6,5.9
