year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,55,30,5,64
1988,119,-92,-41,98
1989,-31,-82,-87,90
1990,41,-98,-92,132
1991,7,-131,-50,74
1992,104,-85,-168,146
1993,-4,-140,-98,147
1994,69,-62,-86,109
1995,120,-19,-48,87
1996,-4,-86,21,128
1997,117,-103,-143,73
1998,-3,-159,-147,182
1999,59,-106,-165,91
2000,100,-222,-64,21
2001,90,-155,-199,115
2002,88,-101,-62,154
2003,3,-234,-311,52
2004,11,-161,-140,123
2005,112,-85,-94,66
2006,79,-61,-37,87
2007,90,-109,-78,90
2008,112,-135,-118,97
2009,81,-150,-65,172
2010,58,-127,-55,199
2011,13,-263,-47,107
2012,16,-157,-147,228
2013,74,-26,-70,143
2014,-12,-203,-14,81
2015,49,-180,-274,81
2016,151,0,-141,89
