year,spring-oat,sugar-beet,winter-soft-wheat,spring-soft-wheat,winter-rapeseed,maize-silage,maize-for-grain,spring-barley,winter-barley,apple,potatoes,permanent-grasslands,rye,triticale,vineyards
,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,dt/ha,,dt/ha,dt/ha,dt/ha,dt/ha,hl/ha
2000,51.9,686.0,71.3,62.1,31.2,484.2,101.9,55.1,62.9,,420.7,62.6,60.7,64.1
2001,54.4,596.2,70.3,54.3,33.3,448.4,87.7,49.0,65.5,,364.7,61.7,57.5,65.6
2002,48.3,699.4,70.0,70.2,33.7,458.3,99.6,52.1,62.3,,321.7,58.5,58.6,63.8,122.7
2003,46.5,513.7,59.7,59.7,25.7,364.9,73.9,51.0,59.9,,254.6,40.0,51.6,55.9,82.5
2004,56.8,664.5,81.4,61.4,42.8,429.1,89.5,64.0,73.2,,383.1,49.8,74.7,77.3,118.4
2005,49.8,682.5,71.7,49.3,41.2,433.6,94.0,56.4,58.8,,365.3,52.9,67.4,72.9,109.3
2006,55.4,695.6,76.2,57.2,44.2,446.7,87.3,59.9,65.0,,356.4,58.7,70.0,76.2,106.5
2007,41.5,657.7,71.5,64.0,40.7,474.5,97.5,45.1,57.8,,375.8,54.2,63.0,66.2,115.9
2008,56.4,684.3,78.6,58.8,40.3,517.5,100.5,58.0,64.9,,373.1,55.9,64.4,81.2,104.2
2009,61.6,749.4,78.1,,46.0,478.1,105.7,64.0,70.1,,391.6,56.2,71.2,79.0,99.0
2010,51.2,723.3,73.5,67.0,43.0,461.7,91.1,66.3,65.9,,373.5,61.5,69.2,80.6,70.1
2011,49.2,802.4,71.9,81.4,31.0,480.8,113.1,50.6,65.5,,454.7,68.8,,68.7,88.0
2012,55.6,683.6,67.1,,36.7,469.5,108.6,69.2,58.3,,446.2,60.1,,,104.7
2013,52.9,798.7,82.4,,39.7,462.3,100.6,70.5,77.0,,419.2,57.7,,,83.7
2014,,894.2,85.5,,47.8,533.0,114.2,62.9,77.1,,483.4,53.4,,,94.1
2015,,720.9,85.2,,45.4,410.6,83.5,67.5,74.5,,,46.3,,,100.1
2016,,830.4,71.1,,38.1,471.2,103.1,52.0,74.8,,408.1,62.6,,,105.4
2017
