year,precipitation-winter,precipitation-spring,precipitation-summer,precipitation-fall
1987,72,143,199,244
1988,292,242,96,95
1989,101,189,103,129
1990,117,117,68,169
1991,124,97,148,159
1992,66,124,160,293
1993,83,243,144,220
1994,165,163,172,170
1995,204,82,157,226
1996,191,158,152,242
1997,98,166,82,234
1998,118,210,129,186
1999,140,161,271,307
2000,100,200,141,353
2001,261,145,172,142
2002,168,172,166,298
2003,129,142,92,291
2004,174,109,135,152
2005,87,145,90,154
2006,262,84,163,287
2007,232,218,144,112
2008,171,222,130,170
2009,109,205,112,251
2010,157,148,123,242
2011,80,71,156,230
2012,63,268,99,367
2013,183,294,121,230
2014,238,231,217,147
2015,140,185,225,84
2016,247,213,39,116
