year,winter-soft-wheat,winter-barley,winter-durum--wheat,maize-for-grain,grain-sorghum,winter-rapeseed,sunflower,soybean,spring-field-peas,broad-bean,vineyards,maize-silage,temporary-grasslands,permanent-grasslands
,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,100-kg-ha,Hl-ha,100-kg-ha,100-kg-ha,100-kg-ha
2000,67,64,60,99,50,30,24,25,40,50,47,110,63,46
2001,61,54,61,91,50,29,21,25,31,30,46,90,55,40
2002,74,66,63,90,50,34,22,25,45,35,43,120,65,42
2003,58,52,50,73,50,32,22,25,40,33,42,80,44,28
2004,64,62,60,86,50,32,22,25,38,30,55,90,80,67
2005,66,62,56,67,50,38,22,25,40,30,44,69,55,45
2006,61,63,53,91,50,29,24,25,38,30,47,105,72,61
2007,60,53,56,95,55,26,27,25,39,25,37,105,96,78
2008,66,65,55,88,50,29,23,25,40,28,36,120,99,80
2009,67,63,58,83,55,36,26,25,43,30,51,87,71,60
2010,63,58,56,88,50,29,23,25,36,26,46,94,57,49
2011,53,53,55,95,55,30,23,25,23,15,54,93,47,38
2012,71,70,63,89,52,35,22,25,38,28,36,85,74,61
2013,64,58,64,80,52,25,19,24,33,28,46,115,88,76
2014,67,64,62,100,65,35,24,30,32,32,48,120,95,81
2015,71,65,68,82,45,33,21,22,32,22,48,110,84,75
2016,50,56,28,61,40,30,19,22,30,12,47,80,74,62
2017,66,59,58,85,53,33,28,23,32,22,43,104,75,63
