year,annual-estival-days
1987,47
1988,30
1989,82
1990,63
1991,66
1992,46
1993,42
1994,51
1995,59
1996,48
1997,69
1998,53
1999,62
2000,48
2001,48
2002,38
2003,88
2004,58
2005,69
2006,68
2007,30
2008,34
2009,63
2010,63
2011,60
2012,50
2013,55
2014,51
2015,56
2016,65
