year,F1,F3,M4
,label F1,label F3,label M4
1987,45,115,4
1988,27,117,4
1989,49,119,6
1990,20,111,2
1991,46,122,1
1992,47,122,3
1993,36,121,4
1994,32,119,2
1995,56,127,5
1996,50,126,3
1997,41,118,3
1998,41,111,4
1999,32,117,2
2000,44,114,3
2001,42,126,4
2002,43,123,2
2003,49,115,3
2004,33,121,2
2005,45,119,4
2006,33,120,3
2007,33,123,3
2008,34,121,4
2009,55,128,5
2010,40,119,3
2011,54,113,3
2012,47,116,4
2013,41,124,3
2014,40,117,1
2015,49,126,3
2016,45,138,3
2016
2017,45,109,7
2018,28,121,4
2019,24,109,7
2020,40,129,7
2021,38,126,5
2022,44,116,3
2023,28,113,5
2024,22,124,3
2025,33,118,3
2026,36,121,2
2027,29,110,5
2028,32,110,3
2029,47,119,5
2030,28,115,3
2031,40,117,5
2032,32,122,5
2033,28,117,3
2034,41,126,4
2035,33,115,6
2036,39,108,4
2037,37,116,5
2038,36,113,5
2039,25,125,6
2040,61,124,4
2041,31,116,5
2042,44,118,5
2043,27,121,5
2044,31,109,4
2045,23,115,2
2046,31,107,3
