year,hydric-deficit-winter,hydric-deficit-spring,hydric-deficit-summer,hydric-deficit-fall
1987,4,-102,-109,183
1988,202,-10,-202,-6
1989,-4,-152,-275,18
1990,11,-161,-325,92
1991,39,-182,-212,89
1992,-29,-187,-150,220
1993,-35,-33,-185,141
1994,67,-139,-117,91
1995,101,-216,-204,125
1996,89,-166,-205,161
1997,-3,-158,-266,141
1998,6,-86,-223,109
1999,36,-127,-65,223
2000,1,-95,-175,261
2001,164,-160,-152,54
2002,51,-133,-145,205
2003,0,-205,-301,211
2004,65,-222,-197,69
2005,-21,-191,-283,41
2006,171,-243,-201,193
2007,134,-75,-154,33
2008,65,-56,-183,94
2009,0,-98,-249,155
2010,49,-146,-225,160
2011,-22,-285,-169,137
2012,-48,-29,-263,280
2013,93,38,-227,144
2014,118,-86,-107,52
2015,43,-154,-138,-13
2016,142,-48,-336,26
